"id","sns_user_id","item_id","count","use_count","updated_at","created_at"
"10627","21510","2001","1","0","2010-07-23 12:49:28.0","2010-07-23 11:21:00.0"
"10671","21510","3018","4","0","2010-07-23 12:46:03.0","2010-07-23 11:22:28.0"
"10704","21510","3060","4","0","2010-07-23 11:50:07.0","2010-07-23 11:26:13.0"
"10735","21510","3028","5","0","2010-07-23 12:28:35.0","2010-07-23 11:27:26.0"
"10749","21510","2003","4","0","2010-07-23 11:43:13.0","2010-07-23 11:28:24.0"
"10934","21510","3033","5","0","2010-07-23 12:28:35.0","2010-07-23 11:37:01.0"
"11091","21510","3070","3","0","2010-07-23 11:45:41.0","2010-07-23 11:42:11.0"
"11144","21510","3019","2","0","2010-07-23 11:44:26.0","2010-07-23 11:44:02.0"
"11282","21510","10002","2","0","2010-07-23 12:31:16.0","2010-07-23 11:52:31.0"
"11293","21511","3028","0","0","2010-07-23 12:15:21.0","2010-07-23 11:52:44.0"
"11679","21510","3072","3","0","2010-07-23 12:07:28.0","2010-07-23 12:03:41.0"
"11774","21510","2024","1","0","2010-07-23 12:06:11.0","2010-07-23 12:06:11.0"
"11782","21510","3041","1","0","2010-07-23 12:06:11.0","2010-07-23 12:06:11.0"
"11883","21510","3049","1","0","2010-07-23 12:08:49.0","2010-07-23 12:08:49.0"
"11889","21510","3073","3","0","2010-07-23 12:09:46.0","2010-07-23 12:08:49.0"
"12304","21510","10003","0","0","2010-07-23 12:23:06.0","2010-07-23 12:23:06.0"
"12333","21510","10004","1","0","2010-07-23 12:24:04.0","2010-07-23 12:24:04.0"
"12587","21510","3","13","0","2010-07-30 11:33:55.0","2010-07-23 12:34:53.0"
"12592","21510","2036","1","0","2010-07-23 12:34:53.0","2010-07-23 12:34:53.0"
"12624","21510","3000","6","0","2010-07-26 14:51:51.0","2010-07-23 12:36:03.0"
"12785","21510","2015","1","0","2010-07-23 12:44:19.0","2010-07-23 12:44:19.0"
"12838","21510","3069","4","0","2010-07-23 12:52:37.0","2010-07-23 12:45:32.0"
"12935","21510","3009","1","0","2010-07-23 12:47:33.0","2010-07-23 12:47:33.0"
"13306","21510","3015","2","0","2010-07-26 11:03:18.0","2010-07-23 12:53:51.0"
"13349","21510","3030","1","0","2010-07-23 13:04:53.0","2010-07-23 13:04:53.0"
"13463","15395","20000","0","0","2010-07-23 14:09:27.0","2010-07-23 14:09:27.0"
"13516","21511","3018","3","0","2010-07-23 16:10:04.0","2010-07-23 14:15:15.0"
"13556","21511","3012","32","0","2010-07-23 15:51:38.0","2010-07-23 14:19:51.0"
"13681","21511","3000","12","0","2010-07-26 14:50:51.0","2010-07-23 14:23:51.0"
"13853","21511","3079","3","0","2010-07-23 14:37:12.0","2010-07-23 14:31:43.0"
"14540","21511","21000","1","0","2010-07-23 15:21:46.0","2010-07-23 15:21:46.0"
"14766","21511","2004","3","0","2010-07-23 15:33:51.0","2010-07-23 15:33:28.0"
"14893","21511","2033","3","0","2010-07-23 16:26:42.0","2010-07-23 15:37:33.0"
"15046","21511","2003","3","0","2010-07-23 15:46:59.0","2010-07-23 15:44:12.0"
"15077","21511","3019","3","0","2010-07-23 16:20:11.0","2010-07-23 15:44:51.0"
"15369","21511","2018","1","0","2010-07-23 15:57:36.0","2010-07-23 15:57:36.0"
"15441","21511","3075","2","0","2010-07-23 15:58:56.0","2010-07-23 15:58:56.0"
"15476","21511","3060","1","0","2010-07-23 16:00:05.0","2010-07-23 16:00:05.0"
"15715","21511","3076","4","0","2010-07-23 16:21:57.0","2010-07-23 16:08:26.0"
"15823","21511","3030","3","0","2010-07-26 11:11:05.0","2010-07-23 16:15:02.0"
"15883","21511","3042","2","0","2010-07-23 16:16:14.0","2010-07-23 16:16:14.0"
"15958","17478","2025","24","0","2010-07-26 17:02:27.0","2010-07-23 16:17:09.0"
"15968","17478","2003","7","0","2010-07-26 16:18:29.0","2010-07-23 16:17:40.0"
"16028","21511","3010","3","0","2010-07-23 16:21:57.0","2010-07-23 16:18:37.0"
"16172","21511","3057","1","0","2010-07-23 16:20:47.0","2010-07-23 16:20:47.0"
"16201","21511","2019","1","0","2010-07-23 16:21:26.0","2010-07-23 16:21:26.0"
"16386","17478","3001","5","0","2010-07-23 16:27:03.0","2010-07-23 16:27:03.0"
"16472","21511","3001","5","0","2010-07-23 16:30:40.0","2010-07-23 16:30:40.0"
"16528","17478","3000","13","0","2010-07-26 15:00:07.0","2010-07-23 16:44:01.0"
"16733","21870","2000","1","0","2010-07-23 21:12:12.0","2010-07-23 21:12:12.0"
"16744","21870","3027","1","0","2010-07-23 21:14:18.0","2010-07-23 21:14:18.0"
"16755","19858","20000","1","0","2010-07-23 21:53:44.0","2010-07-23 21:53:44.0"
"16756","15330","30000","1","0","2010-07-23 21:55:35.0","2010-07-23 21:55:35.0"
"16761","15395","2000","124","0","2010-07-26 22:37:41.0","2010-07-24 05:50:53.0"
